"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"2501-51_3"	"SL000055"	"Cadherin E"	"Cadherin-1"	"16"	"68737225"	"68835548"	"CDH1"	"999"	"P12830"	"Cell cycle|Integrated Breast Cancer Pathway|Neural Crest Differentiation"	"AlphaE beta7 integrin cell surface interactions|Arf6 trafficking events|CDC42 signaling events|E-cadherin signaling events|E-cadherin signaling in keratinocytes|E-cadherin signaling in the nascent adherens junction|FGF signaling pathway|Nectin adhesion pathway|Posttranslational regulation of adherens junction stability and dissassembly|RAC1 signaling pathway|Regulation of nuclear beta catenin signaling and target gene transcription|Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)|Stabilization and expansion of the E-cadherin adherens junction|a6b1 and a6b4 Integrin signaling"	""	"Adherens junctions interactions|Apoptotic cleavage of cell adhesion proteins|Degradation of the extracellular matrix|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell|Integrin cell surface interactions|RHO GTPases activate IQGAPs"	"Adherens Junction Assembly (Cadherins)|Desmosome Assembly"	""	"diagnosis|disease progression|efficacy|prognosis"	"Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. CDH1 is involved in mechanisms regulating cell-cell adhesions, mobility and proliferation of epithelial cells. Has a potent invasive suppressor role. It is a ligand for integrin alpha-E/beta-7."	""	"TRUE"
"2505-49_3"	"SL004144"	"GFRa-3"	"GDNF family receptor alpha-3"	"5"	"138252379"	"138274671"	"GFRA3"	"2676"	"O60609"	""	""	""	""	""	""	""	"Receptor for the glial cell line-derived neurotrophic factor, ARTN (artemin). Mediates the artemin-induced autophosphorylation and activation of the RET receptor tyrosine kinase."	""	"TRUE"
"2514-65_3"	"SL004142"	"Ephrin-B3"	"Ephrin-B3"	"17"	"7705202"	"7711378"	"EFNB3"	"1949"	"Q15768"	""	"EPHB forward signaling"	""	"EPH-Ephrin signaling|EPH-ephrin mediated repulsion of cells|EPHB-mediated forward signaling|Ephrin signaling"	"EphrinR -> STAT signaling|EphrinR -> actin signaling"	""	""	"Cell surface transmembrane ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. May play a pivotal role in forebrain function. Binds to, and induce the collapse of, commissural axons/growth cones in vitro. May play a role in constraining the orientation of longitudinally projecting axons (By similarity)."	""	"TRUE"
"2515-14_3"	"SL004143"	"GFRa-2"	"GDNF family receptor alpha-2"	"8"	"21690403"	"21812357"	"GFRA2"	"2675"	"O00451"	""	""	""	"NCAM1 interactions"	""	""	""	"Receptor for neurturin. Mediates the NRTN-induced autophosphorylation and activation of the RET receptor. Also able to mediate GDNF signaling through the RET tyrosine kinase receptor."	"204|440"	"TRUE"
"2516-57_3"	"SL003193"	"6Ckine"	"C-C motif chemokine 21"	"9"	"34709005"	"34710124"	"CCL21"	"6366"	"O00585"	""	""	""	"Chemokine receptors bind chemokines|G alpha (i) signalling events"	""	""	"disease progression"	"Inhibits hemopoiesis and stimulates chemotaxis. Chemotactic in vitro for thymocytes and activated T-cells, but not for B-cells, macrophages, or neutrophils. Shows preferential activity towards naive T-cells. May play a role in mediating homing of lymphocytes to secondary lymphoid organs. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4."	"352"	"TRUE"
"2523-31_3"	"SL000563"	"RANTES"	"C-C motif chemokine 5"	"17"	"35871491"	"35880793"	"CCL5"	"6352"	"P13501"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"diagnosis|efficacy|unspecified application"	"Chemoattractant for blood monocytes, memory T-helper cells and eosinophils. Causes the release of histamine from basophils and activates eosinophils. May activate several chemokine receptors including CCR1, CCR3, CCR4 and CCR5. One of the major HIV-suppressive factors produced by CD8+ T-cells. Recombinant RANTES protein induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV). The processed form RANTES(3-68) acts as a natural chemotaxis inhibitor and is a more potent inhibitor of HIV-1-infection. The second processed form RANTES(4-68) exhibits reduced chemotactic and HIV-suppressive activity compared with RANTES(1-68) and RANTES(3-68) and is generated by an unidentified enzyme associated with monocytes and neutrophils (PubMed:16791620, PubMed:1380064, PubMed:8525373, PubMed:9516414, PubMed:15923218). May also be an agonist of the G protein-coupled receptor GPR75, stimulating inositol trisphosphate production and calcium mobilization through its activation. Together with GPR75, may play a role in neuron survival through activation of a downstream signaling pathway involving the PI3, Akt and MAP kinases. By activating GPR75 may also play a role in insulin secretion by islet cells (PubMed:23979485)."	"449"	"TRUE"
"2524-56_3"	"SL003280"	"HMG-1"	"High mobility group protein B1"	"13"	"30456704"	"30617597"	"HMGB1"	"3146"	"P09429"	"DNA damage response (only ATM dependent)"	"Beta3 integrin cell surface interactions|Endogenous TLR signaling|amb2 Integrin signaling"	""	"Activation of DNA fragmentation factor|Advanced glycosylation endproduct receptor signaling|DEx/H-box helicases activate type I IFN and inflammatory cytokines production|RIP-mediated NFkB activation via ZBP1|TAK1 activates NFkB by phosphorylation and activation of IKKs complex|TRAF6 mediated NF-kB activation"	"AGER ->  CREB/SP1 signaling|AGER ->  NF-kB signaling"	""	"diagnosis"	"Multifunctional redox sensitive protein with various roles in different cellular compartments. In the nucleus is one of the major chromatin-associated non-histone proteins and acts as a DNA chaperone involved in replication, transcription, chromatin remodeling, V(D)J recombination, DNA repair and genome stability. Proposed to be an universal biosensor for nucleic acids. Promotes host inflammatory response to sterile and infectious signals and is involved in the coordination and integration of innate and adaptive immune responses. In the cytoplasm functions as sensor and/or chaperone for immunogenic nucleic acids implicating the activation of TLR9-mediated immune responses, and mediates autophagy. Acts as danger associated molecular pattern (DAMP) molecule that amplifies immune responses during tissue injury. Released to the extracellular environment can bind DNA, nucleosomes, IL-1 beta, CXCL12, AGER isoform 2/sRAGE, lipopolysaccharide (LPS) and lipoteichoic acid (LTA), and activates cells through engagement of multiple surface receptors. In the extracellular compartment fully reduced HMGB1 (released by necrosis) acts as a chemokine, disulfide HMGB1 (actively secreted) as a cytokine, and sulfonyl HMGB1 (released from apoptotic cells) promotes immunological tolerance (PubMed:23519706, PubMed:23446148, PubMed:23994764, PubMed:25048472). Has proangiogdenic activity (By similarity). May be involved in platelet activation (By similarity). Binds to phosphatidylserine and phosphatidylethanolamide (By similarity). Bound to RAGE mediates signaling for neuronal outgrowth (By similarity). May play a role in accumulation of expanded polyglutamine (polyQ) proteins such as huntingtin (HTT) or TBP (PubMed:23303669, PubMed:25549101)."	""	"TRUE"
"2526-53_3"	"SL002539"	"OPG"	"Tumor necrosis factor receptor superfamily member 11B"	"8"	"118923557"	"118952200"	"TNFRSF11B"	"4982"	"O00300"	"Apoptosis Modulation and Signaling|Monoamine Transport|Osteoblast Signaling|Osteoclast Signaling|RANKL/RANK Signaling Pathway"	""	""	""	"Nociception-related IL1B expression targets"	""	"diagnosis|efficacy"	"Acts as decoy receptor for TNFSF11/RANKL and thereby neutralizes its function in osteoclastogenesis. Inhibits the activation of osteoclasts and promotes osteoclast apoptosis in vitro. Bone homeostasis seems to depend on the local ratio between TNFSF11 and TNFRSF11B. May also play a role in preventing arterial calcification. May act as decoy receptor for TNFSF10/TRAIL and protect against apoptosis. TNFSF10/TRAIL binding blocks the inhibition of osteoclastogenesis."	""	"TRUE"
"2558-51_3"	"SL000300"	"b-Endorphin"	"Beta-endorphin"	"2"	"25160853"	"25168903"	"POMC"	"5443"	"P01189"	""	"Glucocorticoid receptor regulatory network|Syndecan-3-mediated signaling events"	""	"Androgen biosynthesis|Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)|Endogenous sterols|G alpha (i) signalling events|G alpha (s) signalling events|G-protein activation|Glucocorticoid biosynthesis|Opioid Signalling|Peptide hormone biosynthesis|Peptide ligand-binding receptors"	"CRH -> synthesis of corticosteroids|GALR1/2/3 -> POMC/NPY production|NPY1R -> CRH/POMC production|Nociception-related IL1B expression targets|OpioidR -> CREB/ELK-SRF/STAT3 signaling|Summarized nociception-related expression targets"	""	"diagnosis|efficacy|unspecified application"	"ACTH stimulates the adrenal glands to release cortisol."	"150"	"TRUE"
"2567-5_6"	"SL003328"	"Factor I"	"Complement factor I"	"4"	"109740694"	"109802179"	"CFI"	"3426"	"P05156"	""	""	""	"Regulation of Complement cascade"	"Alternative Complement Pathway"	""	""	"Responsible for cleaving the alpha-chains of C4b and C3b in the presence of the cofactors C4-binding protein and factor H respectively."	"230"	"TRUE"
"2570-72_5"	"SL000466"	"IGFBP-2"	"Insulin-like growth factor-binding protein 2"	"2"	"216632828"	"216664436"	"IGFBP2"	"3485"	"P18065"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"diagnosis|efficacy|prognosis"	"Inhibits IGF-mediated growth and developmental rates. IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors."	""	"TRUE"
"2571-12_3"	"SL000045"	"IGFBP-3"	"Insulin-like growth factor-binding protein 3"	"7"	"45912245"	"45921874"	"IGFBP3"	"3486"	"P17936"	"Myometrial Relaxation and Contraction Pathways"	"Direct p53 effectors|Validated transcriptional targets of TAp63 isoforms|Validated transcriptional targets of deltaNp63 isoforms"	""	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	""	""	"diagnosis|disease progression|efficacy|prognosis|safety"	"IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R."	"178"	"TRUE"
"2575-5_5"	"SL000498"	"Leptin"	"Leptin"	"7"	"128241284"	"128257628"	"LEP"	"3952"	"P41159"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"diagnosis|efficacy|prognosis|safety|unspecified application"	"Key player in the regulation of energy balance and body weight control. Once released into the circulation, has central and peripheral effects by binding LEPR, found in many tissues, which results in the activation of several major signaling pathways (PubMed:17344214, PubMed:15899045, PubMed:19688109). In the hypothalamus, acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones. In the periphery, increases basal metabolism, influences reproductive function, regulates pancreatic beta-cell function and insulin secretion, is pro-angiogenic for endothelial cell and affects innate and adaptive immunity (By similarity) (PubMed:8589726, PubMed:11460888, PubMed:19688109, PubMed:24340098, PubMed:25060689). In the arcuate nucleus of the hypothalamus, activates by depolarization POMC neurons inducing FOS and SOCS3 expression to release anorexigenic peptides and inhibits by hyperpolarization NPY neurons inducing SOCS3 with a consequent reduction on release of orexigenic peptides (By similarity). In addition to its known satiety inducing effect, has a modulatory role in nutrient absorption. In the intestine, reduces glucose absorption by enterocytes by activating PKC and leading to a sequential activation of p38, PI3K and ERK signaling pathways which exerts an inhibitory effect on glucose absorption (PubMed:24340098). Acts as a growth factor on certain tissues, through the activation of different signaling pathways increases expression of genes involved in cell cycle regulation such as CCND1, via JAK2-STAT3 pathway, or VEGFA, via MAPK1/3 and PI3K-AKT1 pathways (By similarity) (PubMed:17344214). May also play an apoptotic role via JAK2-STAT3 pathway and up-regulation of BIRC5 expression (PubMed:18242580). Pro-angiogenic, has mitogenic activity on vascular endothelial cells and plays a role in matrix remodeling by regulating the expression of matrix metalloproteinases (MMPs) and tissue inhibitors of metalloproteinases (TIMPs) (PubMed:11460888). In innate immunity, modulates the activity and function of neutrophils by increasing chemotaxis and the secretion of oxygen radicals. Increases phagocytosis by macrophages and enhances secretion of pro-inflammatory mediators. Increases cytotoxic ability of NK cells (PubMed:12504075). Plays a pro-inflammatory role, in synergy with IL1B, by inducing NOS2 wich promotes the production of IL6, IL8 and Prostaglandin E2, through a signaling pathway that involves JAK2, PI3K, MAP2K1/MEK1 and MAPK14/p38 (PubMed:15899045, PubMed:19688109). In adaptive immunity, promotes the switch of memory T-cells towards T helper-1 cell immune responses (By similarity). Increases CD4(+)CD25(-) T cells proliferation and reduces autophagy during TCR (T cell receptor) stimulation, through MTOR signaling pathway activation and BCL2 up-regulation (PubMed:25060689)."	""	"TRUE"
"2578-67_2"	"SL000038"	"MCP-1"	"C-C motif chemokine 2"	"17"	"34255218"	"34257203"	"CCL2"	"6347"	"P13500"	"Folate Metabolism|IL-1 signaling pathway|Selenium Pathway|TWEAK Signaling Pathway|Vitamin B12 Metabolism"	"AP-1 transcription factor network|GMCSF-mediated signaling events|IL23-mediated signaling events|Validated transcriptional targets of AP1 family members Fra1 and Fra2"	""	"ATF4 activates genes|Chemokine receptors bind chemokines"	"CCR1 -> STAT signaling|CCR2/5 -> STAT signaling|CCR5 -> TP53 signaling|MDK/PTN Expression Targets|Nociception-related CCR1 expression targets|Nociception-related IL1B expression targets|Summarized nociception-related expression targets"	"mimosine"	"diagnosis|efficacy|prognosis|response to therapy|safety|unspecified application"	"Chemotactic factor that attracts monocytes and basophils but not neutrophils or eosinophils. Augments monocyte anti-tumor activity. Has been implicated in the pathogenesis of diseases characterized by monocytic infiltrates, like psoriasis, rheumatoid arthritis or atherosclerosis. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis."	""	"TRUE"
"2579-17_5"	"SL000527"	"MMP-9"	"Matrix metalloproteinase-9"	"20"	"46008908"	"46016561"	"MMP9"	"4318"	"P14780"	"Angiogenesis|Endochondral Ossification|Matrix Metalloproteinases|Osteopontin Signaling|TWEAK Signaling Pathway|angiogenesis overview"	"AP-1 transcription factor network|CXCR4-mediated signaling events|FGF signaling pathway|LPA receptor mediated events|Osteopontin-mediated events|Plasma membrane estrogen receptor signaling|Regulation of nuclear beta catenin signaling and target gene transcription|Syndecan-1-mediated signaling events|Syndecan-4-mediated signaling events|Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling|Validated targets of C-MYC transcriptional activation|Validated transcriptional targets of AP1 family members Fra1 and Fra2|amb2 Integrin signaling"	""	"Activation of Matrix Metalloproteinases|Assembly of collagen fibrils and other multimeric structures|Collagen degradation|Degradation of the extracellular matrix|EPH-ephrin mediated repulsion of cells|Signaling by SCF-KIT"	"Extracellular Matrix Turnover|Nociception-related CCR1 expression targets|Summarized nociception-related expression targets"	""	"diagnosis|disease progression|efficacy|prognosis|unspecified application"	"May play an essential role in local proteolysis of the extracellular matrix and in leukocyte migration. Could play a role in bone osteoclastic resorption. Cleaves KiSS1 at a Gly-|-Leu bond. Cleaves type IV and type V collagen into large C-terminal three quarter fragments and shorter N-terminal one quarter fragments. Degrades fibronectin but not laminin or Pz-peptide."	""	"TRUE"
